"date","mun_code","mun_name","tests","cases","population","cases_per_100K"
2020-03-27,101,"København",NA,368,623404,59
2020-03-27,147,"Frederiksberg",NA,82,103960,78.9
2020-03-27,151,"Ballerup",NA,21,48458,43.3
2020-03-27,153,"Brøndby",NA,23,35397,65
2020-03-27,155,"Dragør",NA,NA,14270,NA
2020-03-27,157,"Gentofte",NA,82,75176,109.1
2020-03-27,159,"Gladsaxe",NA,48,69681,68.9
2020-03-27,161,"Glostrup",NA,14,22615,61.9
2020-03-27,163,"Herlev",NA,11,28786,38.2
2020-03-27,165,"Albertslund",NA,NA,27877,NA
2020-03-27,167,"Hvidovre",NA,18,53416,33.7
2020-03-27,169,"Høje-Taastrup",NA,NA,50686,NA
2020-03-27,173,"Lyngby-Taarbæk",NA,28,55790,50.2
2020-03-27,175,"Rødovre",NA,16,40052,39.9
2020-03-27,183,"Ishøj",NA,NA,22946,NA
2020-03-27,185,"Tårnby",NA,16,42984,37.2
2020-03-27,187,"Vallensbæk",NA,17,16654,102.1
2020-03-27,190,"Furesø",NA,18,41069,43.8
2020-03-27,201,"Allerød",NA,NA,25646,NA
2020-03-27,210,"Fredensborg",NA,NA,40819,NA
2020-03-27,217,"Helsingør",NA,41,62567,65.5
2020-03-27,219,"Hillerød",NA,28,50998,54.9
2020-03-27,223,"Hørsholm",NA,21,25007,84
2020-03-27,230,"Rudersdal",NA,38,56509,67.2
2020-03-27,240,"Egedal",NA,16,43335,36.9
2020-03-27,250,"Frederikssund",NA,14,45332,30.9
2020-03-27,253,"Greve",NA,24,50267,47.7
2020-03-27,259,"Køge",NA,30,60675,49.4
2020-03-27,260,"Halsnæs",NA,NA,31271,NA
2020-03-27,265,"Roskilde",NA,36,87577,41.1
2020-03-27,269,"Solrød",NA,14,23065,60.7
2020-03-27,270,"Gribskov",NA,21,41195,51
2020-03-27,306,"Odsherred",NA,NA,33122,NA
2020-03-27,316,"Holbæk",NA,16,71297,22.4
2020-03-27,320,"Faxe",NA,11,36513,30.1
2020-03-27,326,"Kalundborg",NA,14,48681,28.8
2020-03-27,329,"Ringsted",NA,NA,34725,NA
2020-03-27,330,"Slagelse",NA,56,79073,70.8
2020-03-27,336,"Stevns",NA,NA,22782,NA
2020-03-27,340,"Sorø",NA,13,29834,43.6
2020-03-27,350,"Lejre",NA,NA,27775,NA
2020-03-27,360,"Lolland",NA,NA,41615,NA
2020-03-27,370,"Næstved",NA,23,82991,27.7
2020-03-27,376,"Guldborgsund",NA,NA,60930,NA
2020-03-27,390,"Vordingborg",NA,NA,45816,NA
2020-03-27,400,"Bornholm",NA,NA,39572,NA
2020-03-27,410,"Middelfart",NA,18,38553,46.7
2020-03-27,411,"Christiansø",NA,NA,90,NA
2020-03-27,420,"Assens",NA,NA,41212,NA
2020-03-27,430,"Faaborg-Midtfyn",NA,17,51809,32.8
2020-03-27,440,"Kerteminde",NA,NA,23773,NA
2020-03-27,450,"Nyborg",NA,NA,32042,NA
2020-03-27,461,"Odense",NA,33,204182,16.2
2020-03-27,479,"Svendborg",NA,25,58599,42.7
2020-03-27,480,"Nordfyns",NA,NA,29693,NA
2020-03-27,482,"Langeland",NA,NA,12560,NA
2020-03-27,492,"Ærø",NA,NA,6058,NA
2020-03-27,510,"Haderslev",NA,NA,55857,NA
2020-03-27,530,"Billund",NA,NA,26629,NA
2020-03-27,540,"Sønderborg",NA,NA,74561,NA
2020-03-27,550,"Tønder",NA,NA,37587,NA
2020-03-27,561,"Esbjerg",NA,40,115652,34.6
2020-03-27,563,"Fanø",NA,NA,3404,NA
2020-03-27,573,"Varde",NA,NA,50129,NA
2020-03-27,575,"Vejen",NA,NA,42863,NA
2020-03-27,580,"Aabenraa",NA,NA,59035,NA
2020-03-27,607,"Fredericia",NA,16,51427,31.1
2020-03-27,615,"Horsens",NA,NA,90370,NA
2020-03-27,621,"Kolding",NA,49,92893,52.7
2020-03-27,630,"Vejle",NA,25,114830,21.8
2020-03-27,657,"Herning",NA,49,88917,55.1
2020-03-27,661,"Holstebro",NA,16,58504,27.3
2020-03-27,665,"Lemvig",NA,NA,19998,NA
2020-03-27,671,"Struer",NA,NA,21143,NA
2020-03-27,706,"Syddjurs",NA,NA,42768,NA
2020-03-27,707,"Norddjurs",NA,NA,37680,NA
2020-03-27,710,"Favrskov",NA,12,48374,24.8
2020-03-27,727,"Odder",NA,NA,22675,NA
2020-03-27,730,"Randers",NA,12,97909,12.3
2020-03-27,740,"Silkeborg",NA,28,93054,30.1
